,invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
2177,I322773,C141612,Female,56,Clothing,4,1200.32,Credit Card,17/10/2021,Metrocity
2178,I406748,C124239,Male,57,Clothing,5,1500.4,Credit Card,25/10/2021,Metrocity
2179,I198933,C219684,Male,60,Technology,3,3150.0,Credit Card,28/05/2021,Istinye Park
2180,I492378,C748665,Female,46,Shoes,1,600.17,Credit Card,5/12/2021,Metropol AVM
2181,I273156,C233134,Female,47,Cosmetics,5,203.3,Credit Card,8/11/2022,Kanyon
2182,I220388,C206542,Female,20,Technology,1,1050.0,Cash,5/11/2021,Mall of Istanbul
2183,I338987,C880467,Male,61,Shoes,3,1800.51,Credit Card,27/04/2021,Cevahir AVM
2184,I274795,C314543,Male,29,Shoes,2,1200.34,Credit Card,8/3/2023,Metropol AVM
2185,I147688,C241606,Female,56,Food & Beverage,5,26.15,Cash,11/1/2022,Kanyon
2186,I599893,C496957,Male,48,Shoes,1,600.17,Credit Card,30/01/2023,Viaport Outlet
2187,I264838,C254216,Female,60,Souvenir,3,35.19,Cash,15/09/2022,Metropol AVM
2188,I198746,C538826,Female,54,Food & Beverage,4,20.92,Debit Card,7/12/2021,Mall of Istanbul
2189,I217191,C894974,Female,30,Clothing,2,600.16,Debit Card,28/02/2021,Istinye Park
2190,I172641,C144219,Female,37,Toys,5,179.2,Cash,11/9/2022,Metrocity
2191,I260183,C333665,Male,22,Clothing,3,900.24,Credit Card,26/10/2022,Zorlu Center
2192,I280133,C145966,Male,36,Clothing,4,1200.32,Cash,7/6/2022,Forum Istanbul
2193,I185216,C328858,Female,60,Clothing,2,600.16,Cash,26/03/2022,Mall of Istanbul
2194,I273366,C163870,Male,35,Clothing,5,1500.4,Credit Card,29/07/2022,Kanyon
2195,I680142,C191874,Female,32,Souvenir,5,58.65,Cash,24/04/2021,Kanyon
2196,I235763,C210142,Female,48,Clothing,3,900.24,Credit Card,10/3/2022,Kanyon
2197,I193882,C186181,Female,38,Toys,2,71.68,Debit Card,22/03/2021,Metrocity
2198,I126377,C940099,Male,27,Cosmetics,2,81.32,Credit Card,5/4/2021,Metrocity
2199,I205408,C127631,Female,29,Clothing,5,1500.4,Credit Card,16/08/2022,Kanyon
2200,I266781,C226901,Male,52,Toys,3,107.52,Cash,25/01/2023,Istinye Park
2201,I166220,C184477,Female,68,Cosmetics,5,203.3,Credit Card,26/12/2022,Viaport Outlet
2202,I351200,C186966,Female,49,Clothing,3,900.24,Debit Card,23/10/2021,Mall of Istanbul
2203,I665541,C698118,Female,30,Shoes,1,600.17,Credit Card,26/01/2021,Metrocity
2204,I724118,C173197,Female,67,Books,4,60.6,Cash,1/3/2022,Cevahir AVM
2205,I151977,C137049,Female,68,Toys,2,71.68,Credit Card,7/2/2022,Mall of Istanbul
2206,I455730,C258152,Male,66,Cosmetics,5,203.3,Debit Card,30/11/2021,Mall of Istanbul
2207,I269524,C330208,Female,60,Food & Beverage,5,26.15,Cash,17/02/2022,Mall of Istanbul
2208,I277655,C107827,Male,63,Clothing,2,600.16,Credit Card,30/01/2021,Cevahir AVM
2209,I232062,C525444,Female,36,Clothing,5,1500.4,Credit Card,22/01/2023,Zorlu Center
2210,I275218,C251546,Female,57,Cosmetics,5,203.3,Debit Card,24/07/2021,Viaport Outlet
2211,I291610,C196959,Male,32,Souvenir,2,23.46,Debit Card,22/02/2021,Mall of Istanbul
2212,I110328,C148584,Female,27,Toys,1,35.84,Debit Card,30/12/2022,Forum Istanbul
2213,I106120,C181123,Female,61,Toys,5,179.2,Debit Card,11/4/2021,Metrocity
2214,I260295,C323715,Male,53,Food & Beverage,5,26.15,Credit Card,21/02/2023,Istinye Park
2215,I275256,C244649,Male,53,Food & Beverage,2,10.46,Cash,30/10/2021,Viaport Outlet
2216,I243617,C102127,Female,33,Food & Beverage,1,5.23,Cash,3/12/2022,Istinye Park
2217,I401939,C112756,Female,67,Clothing,2,600.16,Debit Card,7/1/2021,Istinye Park
2218,I178874,C520827,Female,34,Toys,1,35.84,Debit Card,27/09/2021,Kanyon
2219,I260871,C333346,Male,66,Technology,1,1050.0,Credit Card,18/05/2022,Metropol AVM
2220,I121196,C692417,Female,48,Souvenir,4,46.92,Credit Card,4/10/2022,Metrocity
2221,I192278,C256308,Female,69,Shoes,1,600.17,Cash,27/05/2021,Mall of Istanbul
2222,I225017,C115262,Female,48,Food & Beverage,3,15.69,Cash,10/8/2021,Istinye Park
2223,I195905,C330332,Male,58,Clothing,4,1200.32,Credit Card,10/5/2021,Zorlu Center
2224,I463814,C269884,Male,54,Clothing,5,1500.4,Cash,11/6/2022,Kanyon
2225,I204700,C320681,Male,46,Toys,3,107.52,Cash,4/11/2021,Metropol AVM
2226,I265444,C199576,Female,64,Cosmetics,3,121.98,Cash,1/6/2021,Kanyon
2227,I265466,C299321,Female,28,Cosmetics,2,81.32,Debit Card,2/12/2021,Mall of Istanbul
2228,I302795,C237043,Male,35,Clothing,2,600.16,Credit Card,15/03/2022,Kanyon
2229,I134632,C311621,Male,47,Shoes,3,1800.51,Debit Card,14/06/2021,Metrocity
2230,I186508,C137747,Female,50,Shoes,3,1800.51,Cash,29/04/2021,Mall of Istanbul
2231,I329454,C231121,Male,60,Souvenir,1,11.73,Debit Card,14/04/2022,Metropol AVM
2232,I171114,C231061,Female,39,Clothing,3,900.24,Credit Card,2/3/2022,Emaar Square Mall
2233,I478239,C216402,Female,28,Toys,3,107.52,Debit Card,23/02/2023,Emaar Square Mall
2234,I795476,C103541,Female,55,Shoes,3,1800.51,Credit Card,10/6/2022,Kanyon
2235,I852985,C182753,Female,47,Food & Beverage,5,26.15,Debit Card,19/04/2021,Metropol AVM
2236,I255433,C208698,Male,54,Books,3,45.45,Credit Card,21/04/2022,Kanyon
2237,I953834,C136725,Female,26,Clothing,3,900.24,Cash,7/10/2022,Cevahir AVM
2238,I195320,C110370,Male,49,Books,3,45.45,Debit Card,11/5/2022,Mall of Istanbul
2239,I294064,C157231,Female,64,Cosmetics,4,162.64,Credit Card,4/3/2023,Mall of Istanbul
2240,I232704,C242808,Female,26,Cosmetics,5,203.3,Cash,1/5/2022,Kanyon
2241,I262125,C196993,Male,26,Toys,1,35.84,Debit Card,13/04/2022,Mall of Istanbul
2242,I181742,C244955,Female,64,Toys,5,179.2,Cash,17/02/2021,Mall of Istanbul
2243,I330371,C743650,Male,56,Cosmetics,5,203.3,Cash,8/6/2022,Kanyon
2244,I182761,C144790,Female,39,Clothing,2,600.16,Cash,18/12/2021,Istinye Park
2245,I737451,C986133,Female,37,Cosmetics,5,203.3,Cash,18/09/2022,Istinye Park
2246,I187881,C228567,Female,29,Technology,1,1050.0,Cash,8/3/2021,Mall of Istanbul
2247,I158989,C644501,Female,45,Cosmetics,3,121.98,Cash,22/01/2023,Mall of Istanbul
2248,I114287,C217997,Female,31,Food & Beverage,3,15.69,Cash,12/5/2021,Cevahir AVM
2249,I105807,C228321,Female,53,Food & Beverage,3,15.69,Cash,3/9/2021,Metrocity
2250,I252397,C972398,Female,60,Cosmetics,2,81.32,Credit Card,2/9/2022,Metropol AVM
2251,I238290,C214448,Male,35,Clothing,4,1200.32,Credit Card,27/06/2021,Metrocity
2252,I256981,C237147,Male,65,Souvenir,2,23.46,Credit Card,22/05/2022,Viaport Outlet
2253,I325373,C902343,Female,26,Cosmetics,2,81.32,Credit Card,12/6/2021,Viaport Outlet
2254,I327863,C374580,Female,67,Food & Beverage,2,10.46,Cash,31/10/2021,Metrocity
2255,I688566,C660581,Female,54,Souvenir,4,46.92,Cash,23/03/2021,Zorlu Center
2256,I162399,C134704,Female,19,Technology,2,2100.0,Cash,8/8/2022,Zorlu Center
2257,I258266,C615661,Male,35,Clothing,4,1200.32,Credit Card,11/6/2021,Zorlu Center
2258,I203735,C301925,Female,52,Cosmetics,1,40.66,Debit Card,24/05/2022,Emaar Square Mall
2259,I999141,C233544,Female,41,Clothing,1,300.08,Debit Card,9/4/2021,Viaport Outlet
2260,I921064,C633767,Female,28,Toys,4,143.36,Cash,23/12/2022,Metrocity
2261,I163738,C303029,Male,43,Clothing,2,600.16,Credit Card,8/7/2021,Cevahir AVM
2262,I562073,C120200,Female,60,Clothing,1,300.08,Cash,7/12/2021,Emaar Square Mall
2263,I177577,C333145,Male,36,Toys,3,107.52,Credit Card,1/7/2022,Metropol AVM
2264,I109901,C812062,Female,46,Shoes,4,2400.68,Debit Card,6/12/2021,Istinye Park
2265,I191945,C107112,Female,42,Cosmetics,1,40.66,Cash,18/04/2021,Cevahir AVM
2266,I180528,C257547,Female,38,Toys,4,143.36,Credit Card,4/7/2022,Mall of Istanbul
2267,I188190,C566721,Female,24,Souvenir,4,46.92,Cash,12/11/2022,Mall of Istanbul
2268,I153391,C339188,Female,18,Souvenir,5,58.65,Debit Card,15/01/2021,Metrocity
2269,I249926,C194794,Male,30,Shoes,4,2400.68,Cash,20/08/2021,Kanyon
2270,I680241,C118461,Male,30,Shoes,2,1200.34,Credit Card,30/06/2021,Metrocity
2271,I549888,C304169,Male,22,Clothing,5,1500.4,Credit Card,25/11/2021,Viaport Outlet
2272,I277227,C274035,Female,67,Food & Beverage,4,20.92,Debit Card,25/02/2021,Metropol AVM
2273,I827306,C271752,Female,22,Clothing,1,300.08,Cash,16/12/2021,Kanyon
2274,I246515,C103331,Female,23,Clothing,4,1200.32,Debit Card,2/2/2022,Mall of Istanbul
2275,I189399,C906919,Female,59,Clothing,3,900.24,Credit Card,4/10/2022,Kanyon
2276,I250203,C226800,Female,65,Technology,2,2100.0,Credit Card,17/01/2023,Mall of Istanbul
2277,I207734,C198948,Male,62,Books,4,60.6,Debit Card,20/07/2021,Cevahir AVM
2278,I104160,C120670,Female,58,Clothing,3,900.24,Cash,16/01/2023,Mall of Istanbul
2279,I750875,C125609,Female,46,Clothing,1,300.08,Cash,5/7/2022,Forum Istanbul
2280,I150787,C268598,Male,41,Cosmetics,3,121.98,Cash,15/02/2022,Mall of Istanbul
2281,I192025,C754365,Female,44,Food & Beverage,3,15.69,Cash,27/03/2021,Metrocity
2282,I147543,C796861,Male,62,Souvenir,3,35.19,Cash,10/12/2021,Istinye Park
2283,I150897,C289704,Female,26,Toys,1,35.84,Debit Card,12/7/2022,Emaar Square Mall
2284,I620781,C807243,Female,26,Clothing,3,900.24,Cash,25/11/2022,Metropol AVM
2285,I617738,C264632,Female,62,Technology,3,3150.0,Cash,28/10/2022,Mall of Istanbul
2286,I102075,C127805,Female,61,Cosmetics,1,40.66,Cash,30/07/2021,Metrocity
2287,I337634,C663736,Male,64,Technology,5,5250.0,Cash,23/05/2022,Mall of Istanbul
2288,I214783,C217803,Female,68,Technology,4,4200.0,Cash,23/06/2021,Istinye Park
2289,I222687,C286208,Female,52,Food & Beverage,3,15.69,Credit Card,18/02/2021,Metropol AVM
2290,I587311,C141904,Male,34,Clothing,3,900.24,Debit Card,9/11/2022,Forum Istanbul
2291,I254588,C149618,Female,44,Toys,1,35.84,Debit Card,25/02/2022,Metrocity
2292,I113173,C318733,Female,69,Cosmetics,4,162.64,Cash,30/09/2021,Metrocity
2293,I251930,C310336,Female,28,Shoes,4,2400.68,Credit Card,31/12/2021,Mall of Istanbul
2294,I271727,C206315,Male,63,Cosmetics,1,40.66,Credit Card,23/12/2022,Kanyon
2295,I102879,C380202,Female,26,Food & Beverage,4,20.92,Debit Card,3/9/2022,Cevahir AVM
2296,I630114,C136758,Male,56,Clothing,1,300.08,Credit Card,26/09/2022,Kanyon
2297,I288329,C809681,Male,54,Cosmetics,3,121.98,Credit Card,19/10/2021,Zorlu Center
2298,I119466,C220908,Female,24,Toys,4,143.36,Debit Card,16/01/2022,Metrocity
2299,I317983,C756940,Female,18,Cosmetics,5,203.3,Cash,5/8/2022,Metrocity
2300,I332021,C312680,Male,55,Clothing,1,300.08,Credit Card,12/6/2021,Kanyon
2301,I156332,C259027,Male,19,Clothing,2,600.16,Debit Card,25/08/2022,Metrocity
2302,I415397,C279345,Male,32,Clothing,1,300.08,Credit Card,17/08/2022,Istinye Park
2303,I109938,C407728,Female,67,Shoes,4,2400.68,Cash,1/4/2022,Metropol AVM
2304,I108380,C294039,Female,47,Shoes,3,1800.51,Cash,17/11/2022,Mall of Istanbul
2305,I787252,C253498,Male,40,Clothing,5,1500.4,Debit Card,22/06/2022,Metrocity
2306,I289828,C204897,Female,36,Clothing,5,1500.4,Cash,17/05/2021,Metrocity
2307,I136586,C134546,Female,38,Clothing,1,300.08,Debit Card,16/04/2021,Mall of Istanbul
2308,I262142,C204706,Female,37,Clothing,2,600.16,Credit Card,20/11/2021,Mall of Istanbul
2309,I194094,C214899,Male,21,Books,2,30.3,Cash,3/12/2021,Emaar Square Mall
2310,I316429,C200364,Female,57,Clothing,3,900.24,Debit Card,26/02/2022,Kanyon
2311,I136751,C174682,Female,38,Clothing,3,900.24,Credit Card,4/12/2021,Zorlu Center
2312,I881027,C207871,Male,69,Food & Beverage,2,10.46,Debit Card,23/12/2022,Istinye Park
2313,I125739,C197212,Male,62,Cosmetics,1,40.66,Credit Card,23/05/2021,Metrocity
2314,I193038,C319100,Female,20,Cosmetics,5,203.3,Cash,30/03/2021,Istinye Park
2315,I320496,C472457,Male,39,Clothing,4,1200.32,Credit Card,13/01/2023,Forum Istanbul
2316,I453737,C245565,Female,27,Clothing,3,900.24,Credit Card,3/3/2022,Istinye Park
2317,I757911,C318049,Male,37,Toys,4,143.36,Cash,20/05/2021,Cevahir AVM
2318,I323948,C137694,Male,53,Food & Beverage,3,15.69,Cash,16/02/2023,Kanyon
2319,I112259,C175200,Male,43,Cosmetics,1,40.66,Credit Card,12/7/2021,Forum Istanbul
2320,I118678,C185467,Male,28,Toys,3,107.52,Cash,9/1/2022,Mall of Istanbul
2321,I283249,C322136,Male,29,Clothing,4,1200.32,Credit Card,16/06/2022,Kanyon
2322,I187189,C683273,Male,40,Clothing,4,1200.32,Credit Card,24/01/2022,Istinye Park
2323,I257616,C269638,Female,58,Clothing,4,1200.32,Debit Card,12/10/2022,Kanyon
2324,I332867,C244768,Female,66,Books,1,15.15,Cash,30/07/2022,Metropol AVM
2325,I177031,C627558,Female,49,Cosmetics,2,81.32,Cash,16/11/2022,Forum Istanbul
2326,I151701,C920596,Male,49,Clothing,2,600.16,Debit Card,31/03/2022,Metropol AVM
2327,I288674,C833483,Male,60,Technology,1,1050.0,Credit Card,12/3/2022,Kanyon
2328,I199817,C369733,Male,57,Books,1,15.15,Debit Card,24/10/2022,Mall of Istanbul
2329,I246003,C154604,Male,46,Clothing,1,300.08,Debit Card,1/8/2021,Metrocity
2330,I210025,C335161,Female,63,Clothing,5,1500.4,Debit Card,31/10/2021,Metropol AVM
2331,I297592,C162309,Male,48,Food & Beverage,5,26.15,Debit Card,15/08/2021,Forum Istanbul
2332,I453056,C569118,Female,57,Clothing,5,1500.4,Debit Card,3/4/2022,Kanyon
2333,I117593,C131579,Female,40,Clothing,5,1500.4,Credit Card,4/5/2022,Metrocity
2334,I270491,C266349,Female,33,Cosmetics,4,162.64,Cash,16/04/2021,Zorlu Center
2335,I439007,C152077,Male,46,Cosmetics,1,40.66,Credit Card,10/7/2021,Metropol AVM
2336,I759716,C179184,Female,43,Cosmetics,1,40.66,Cash,25/04/2021,Metrocity
2337,I322854,C289504,Male,45,Clothing,3,900.24,Cash,9/12/2022,Istinye Park
2338,I314442,C851697,Female,39,Books,5,75.75,Credit Card,4/1/2023,Metropol AVM
2339,I323790,C212937,Female,58,Shoes,5,3000.85,Credit Card,16/10/2021,Zorlu Center
2340,I298309,C105391,Male,28,Toys,1,35.84,Cash,22/01/2022,Istinye Park
2341,I214481,C102366,Male,56,Shoes,5,3000.85,Credit Card,30/08/2022,Istinye Park
2342,I315324,C228858,Female,61,Clothing,3,900.24,Credit Card,2/3/2022,Forum Istanbul
2343,I295488,C137760,Male,32,Food & Beverage,2,10.46,Credit Card,12/11/2022,Zorlu Center
2344,I277787,C332750,Male,58,Clothing,4,1200.32,Credit Card,19/03/2021,Emaar Square Mall
2345,I195631,C219593,Female,61,Souvenir,3,35.19,Debit Card,11/7/2021,Mall of Istanbul
2346,I336794,C193274,Female,22,Food & Beverage,1,5.23,Cash,2/8/2022,Emaar Square Mall
2347,I233231,C250609,Female,64,Food & Beverage,5,26.15,Cash,3/2/2022,Istinye Park
2348,I271914,C220564,Male,35,Shoes,3,1800.51,Debit Card,4/11/2022,Kanyon
2349,I132664,C451148,Female,19,Toys,3,107.52,Cash,18/07/2022,Kanyon
2350,I547257,C333203,Male,66,Clothing,1,300.08,Cash,30/01/2021,Kanyon
2351,I338169,C194393,Male,60,Books,1,15.15,Credit Card,10/8/2021,Viaport Outlet
2352,I234807,C148324,Female,27,Clothing,5,1500.4,Debit Card,27/10/2022,Kanyon
2353,I288981,C205857,Female,32,Cosmetics,5,203.3,Cash,15/04/2022,Metropol AVM
2354,I279029,C148354,Female,42,Souvenir,4,46.92,Credit Card,18/03/2022,Metropol AVM
2355,I847530,C279055,Male,58,Cosmetics,1,40.66,Debit Card,18/10/2021,Metrocity
2356,I195270,C317188,Male,66,Souvenir,1,11.73,Credit Card,9/1/2021,Kanyon
2357,I229717,C175236,Female,54,Food & Beverage,1,5.23,Cash,20/06/2021,Mall of Istanbul
2358,I262083,C152875,Male,30,Food & Beverage,3,15.69,Cash,10/4/2021,Cevahir AVM
2359,I318556,C177936,Male,64,Clothing,5,1500.4,Cash,19/07/2022,Istinye Park
2360,I105218,C484664,Female,28,Souvenir,2,23.46,Cash,20/02/2022,Metrocity
2361,I129344,C334649,Female,30,Clothing,3,900.24,Cash,21/09/2022,Mall of Istanbul
2362,I507491,C218800,Female,49,Technology,3,3150.0,Cash,27/09/2021,Kanyon
2363,I966297,C121541,Female,23,Clothing,3,900.24,Debit Card,15/09/2021,Kanyon
2364,I310552,C531490,Female,22,Food & Beverage,1,5.23,Cash,15/02/2022,Kanyon
2365,I187771,C220461,Female,58,Cosmetics,1,40.66,Debit Card,8/9/2022,Metrocity
2366,I281054,C110755,Female,22,Books,5,75.75,Cash,2/9/2022,Kanyon
2367,I283927,C746572,Female,20,Cosmetics,4,162.64,Debit Card,30/10/2022,Istinye Park
2368,I320851,C151866,Female,34,Clothing,4,1200.32,Debit Card,3/5/2021,Mall of Istanbul
2369,I128645,C243702,Female,56,Clothing,4,1200.32,Debit Card,27/02/2022,Istinye Park
2370,I860599,C325460,Male,46,Clothing,1,300.08,Credit Card,12/4/2021,Mall of Istanbul
2371,I219513,C494925,Male,45,Clothing,3,900.24,Credit Card,24/03/2021,Istinye Park
2372,I160545,C316812,Male,43,Toys,5,179.2,Credit Card,28/11/2022,Kanyon
2373,I241813,C259650,Male,54,Clothing,5,1500.4,Cash,4/2/2023,Istinye Park
2374,I199956,C270597,Female,45,Cosmetics,1,40.66,Credit Card,1/4/2021,Istinye Park
2375,I826044,C336073,Female,44,Toys,3,107.52,Cash,14/07/2021,Metropol AVM
2376,I280091,C277636,Female,18,Souvenir,4,46.92,Cash,1/3/2023,Metrocity
2377,I469098,C272944,Male,65,Shoes,4,2400.68,Debit Card,24/10/2022,Metropol AVM
2378,I584641,C198772,Female,59,Clothing,1,300.08,Cash,6/12/2022,Forum Istanbul
2379,I504058,C320331,Female,32,Food & Beverage,2,10.46,Cash,30/07/2021,Kanyon
2380,I106639,C320849,Female,36,Shoes,2,1200.34,Cash,17/08/2021,Kanyon
2381,I604957,C103395,Female,19,Clothing,1,300.08,Cash,30/11/2022,Istinye Park
2382,I187370,C339350,Female,29,Books,3,45.45,Credit Card,10/3/2022,Metrocity
2383,I752673,C885441,Male,38,Technology,4,4200.0,Credit Card,5/12/2022,Kanyon
2384,I141877,C110372,Male,34,Clothing,3,900.24,Debit Card,18/11/2022,Metropol AVM
2385,I712241,C136012,Male,69,Technology,4,4200.0,Credit Card,31/12/2022,Metropol AVM
2386,I143573,C296110,Female,57,Clothing,2,600.16,Cash,11/10/2021,Metropol AVM
2387,I224689,C185439,Female,32,Clothing,4,1200.32,Debit Card,15/09/2021,Kanyon
2388,I175593,C150131,Female,48,Toys,2,71.68,Cash,23/12/2022,Mall of Istanbul
2389,I177200,C197871,Female,42,Food & Beverage,1,5.23,Debit Card,22/02/2023,Viaport Outlet
2390,I935961,C753862,Female,24,Food & Beverage,4,20.92,Credit Card,16/01/2022,Metropol AVM
2391,I135566,C306867,Male,68,Clothing,2,600.16,Cash,24/02/2023,Metropol AVM
2392,I241446,C214743,Male,67,Toys,2,71.68,Cash,1/1/2023,Kanyon
2393,I285705,C953085,Male,31,Technology,4,4200.0,Cash,13/09/2021,Mall of Istanbul
2394,I312730,C277415,Male,60,Clothing,1,300.08,Credit Card,7/1/2022,Istinye Park
2395,I106687,C335983,Male,20,Clothing,4,1200.32,Cash,5/1/2023,Metrocity
2396,I294120,C145250,Female,34,Cosmetics,3,121.98,Cash,6/3/2022,Metrocity
2397,I193677,C763024,Female,45,Shoes,2,1200.34,Debit Card,10/9/2021,Metropol AVM
2398,I206495,C309927,Male,30,Shoes,1,600.17,Credit Card,12/1/2023,Kanyon
2399,I320477,C303958,Male,37,Clothing,3,900.24,Credit Card,7/1/2021,Mall of Istanbul
2400,I295357,C209077,Female,26,Cosmetics,1,40.66,Credit Card,26/09/2022,Emaar Square Mall
2401,I571169,C280789,Female,64,Clothing,5,1500.4,Credit Card,4/6/2021,Mall of Istanbul
2402,I258534,C922102,Male,44,Technology,5,5250.0,Credit Card,5/5/2022,Zorlu Center
2403,I262465,C509914,Male,19,Technology,4,4200.0,Debit Card,25/05/2022,Istinye Park
2404,I266757,C308886,Male,60,Souvenir,4,46.92,Debit Card,29/11/2022,Kanyon
2405,I169832,C188914,Female,53,Clothing,4,1200.32,Credit Card,10/6/2021,Metrocity
2406,I250728,C179098,Male,30,Cosmetics,4,162.64,Cash,24/06/2021,Forum Istanbul
2407,I200329,C474668,Male,44,Shoes,4,2400.68,Cash,2/9/2022,Metropol AVM
2408,I942584,C334317,Male,31,Toys,1,35.84,Debit Card,30/08/2021,Mall of Istanbul
2409,I178338,C326970,Male,57,Food & Beverage,4,20.92,Credit Card,4/5/2022,Metropol AVM
2410,I229929,C299502,Female,37,Clothing,3,900.24,Debit Card,17/01/2022,Forum Istanbul
2411,I288683,C939222,Male,20,Clothing,4,1200.32,Cash,9/7/2022,Viaport Outlet
2412,I138961,C217456,Male,23,Souvenir,3,35.19,Credit Card,5/8/2021,Kanyon
2413,I802719,C288044,Female,27,Clothing,5,1500.4,Cash,25/10/2021,Metropol AVM
2414,I195394,C328660,Female,51,Cosmetics,3,121.98,Credit Card,12/12/2021,Istinye Park
2415,I170017,C324253,Male,21,Technology,4,4200.0,Credit Card,9/12/2021,Mall of Istanbul
2416,I211919,C208623,Female,60,Food & Beverage,3,15.69,Cash,15/11/2022,Istinye Park
2417,I321071,C954551,Male,49,Cosmetics,4,162.64,Cash,12/2/2021,Mall of Istanbul
2418,I297517,C339149,Male,55,Cosmetics,5,203.3,Debit Card,27/01/2021,Mall of Istanbul
2419,I115753,C241150,Male,62,Food & Beverage,5,26.15,Credit Card,19/04/2021,Istinye Park
2420,I136471,C338189,Male,21,Food & Beverage,5,26.15,Debit Card,2/4/2021,Mall of Istanbul
2421,I273192,C289698,Female,64,Toys,4,143.36,Cash,16/08/2022,Kanyon
2422,I155987,C325103,Male,57,Souvenir,5,58.65,Cash,1/8/2022,Emaar Square Mall
2423,I257283,C256111,Male,58,Clothing,2,600.16,Cash,26/03/2021,Kanyon
2424,I320828,C157623,Female,40,Toys,3,107.52,Cash,23/10/2022,Kanyon
2425,I281208,C149839,Female,44,Cosmetics,5,203.3,Cash,31/07/2022,Emaar Square Mall
2426,I149132,C309930,Male,39,Food & Beverage,5,26.15,Cash,13/04/2021,Zorlu Center
2427,I140633,C302869,Male,55,Books,5,75.75,Cash,6/5/2021,Cevahir AVM
2428,I228653,C789065,Female,43,Cosmetics,4,162.64,Credit Card,11/12/2021,Mall of Istanbul
2429,I111719,C149907,Male,37,Clothing,1,300.08,Cash,5/8/2022,Metrocity
2430,I223855,C310095,Male,55,Clothing,1,300.08,Cash,9/8/2021,Kanyon
2431,I334012,C927868,Male,39,Clothing,1,300.08,Debit Card,31/03/2021,Cevahir AVM
2432,I178136,C177860,Female,65,Toys,3,107.52,Cash,12/11/2021,Istinye Park
2433,I221992,C113568,Male,47,Clothing,4,1200.32,Cash,25/10/2021,Kanyon
2434,I159071,C245748,Male,23,Cosmetics,2,81.32,Debit Card,13/09/2021,Metrocity
2435,I332936,C270709,Female,57,Clothing,3,900.24,Cash,9/5/2022,Viaport Outlet
2436,I118080,C261361,Female,35,Technology,1,1050.0,Cash,13/02/2021,Viaport Outlet
2437,I224355,C105991,Male,27,Clothing,4,1200.32,Debit Card,23/02/2022,Mall of Istanbul
2438,I244653,C124871,Female,46,Shoes,4,2400.68,Cash,27/08/2022,Kanyon
2439,I397250,C170581,Male,30,Clothing,1,300.08,Cash,6/12/2021,Metrocity
2440,I269574,C285436,Female,30,Clothing,2,600.16,Credit Card,30/07/2021,Kanyon
2441,I171167,C269066,Male,66,Clothing,5,1500.4,Debit Card,21/09/2022,Mall of Istanbul
2442,I208346,C101579,Male,59,Cosmetics,3,121.98,Debit Card,3/2/2022,Mall of Istanbul
2443,I115916,C338582,Male,18,Shoes,5,3000.85,Debit Card,23/08/2022,Istinye Park
2444,I258976,C171807,Female,58,Clothing,4,1200.32,Credit Card,1/9/2021,Mall of Istanbul
2445,I613437,C170116,Female,44,Technology,5,5250.0,Cash,12/8/2022,Mall of Istanbul
2446,I328664,C311976,Female,53,Souvenir,2,23.46,Cash,3/2/2021,Metrocity
2447,I121868,C101411,Female,24,Cosmetics,5,203.3,Cash,10/9/2021,Mall of Istanbul
2448,I678904,C150398,Female,64,Shoes,4,2400.68,Cash,9/6/2021,Mall of Istanbul
2449,I964061,C336542,Female,18,Souvenir,3,35.19,Debit Card,3/12/2021,Zorlu Center
2450,I554701,C326582,Female,21,Toys,3,107.52,Credit Card,18/11/2021,Istinye Park
2451,I252115,C144558,Female,45,Food & Beverage,5,26.15,Cash,2/1/2021,Istinye Park
2452,I101953,C316666,Male,52,Technology,3,3150.0,Cash,16/02/2021,Metrocity
2453,I284094,C136784,Male,31,Cosmetics,1,40.66,Credit Card,11/6/2021,Metrocity
2454,I268013,C203249,Female,52,Cosmetics,2,81.32,Cash,14/02/2022,Mall of Istanbul
2455,I228335,C928248,Female,64,Clothing,3,900.24,Credit Card,12/11/2022,Mall of Istanbul
2456,I265038,C663839,Female,33,Food & Beverage,5,26.15,Cash,17/07/2021,Cevahir AVM
2457,I177918,C260482,Male,56,Clothing,4,1200.32,Debit Card,1/11/2021,Metrocity
2458,I244859,C338217,Male,29,Souvenir,5,58.65,Debit Card,22/12/2021,Metrocity
2459,I318281,C164736,Female,41,Souvenir,2,23.46,Cash,8/2/2023,Cevahir AVM
2460,I262830,C247895,Male,36,Food & Beverage,4,20.92,Cash,28/11/2021,Kanyon
2461,I234396,C318177,Female,31,Food & Beverage,3,15.69,Credit Card,23/04/2021,Metrocity
2462,I193049,C280631,Female,44,Clothing,5,1500.4,Cash,6/2/2022,Kanyon
2463,I230897,C178926,Male,56,Shoes,5,3000.85,Credit Card,2/6/2022,Metropol AVM
2464,I163127,C216627,Female,19,Clothing,4,1200.32,Debit Card,11/11/2022,Metrocity
2465,I885570,C107370,Female,48,Cosmetics,1,40.66,Credit Card,13/01/2022,Viaport Outlet
2466,I266672,C122346,Male,59,Shoes,5,3000.85,Debit Card,13/02/2022,Viaport Outlet
2467,I212643,C215812,Female,23,Cosmetics,2,81.32,Cash,28/09/2022,Mall of Istanbul
2468,I235015,C546656,Female,20,Food & Beverage,4,20.92,Debit Card,2/9/2022,Istinye Park
